Date,Channel,Type,Amount
"2018 Sep 15, 13:47 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 15, 13:51 PDT",PirateSoftware,Cheering,1 Bit
"2018 Sep 15, 13:52 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 15, 13:59 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 15, 14:03 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 16, 19:37 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 18, 16:29 PDT",PirateSoftware,Cheering,6 Bits
"2018 Sep 18, 23:47 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 18, 23:51 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 19, 05:05 PDT",PirateSoftware,Cheering,5 Bits
"2018 Sep 19, 05:12 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 19, 05:38 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 20, 22:31 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 20, 22:32 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 20, 22:36 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 20, 22:39 PDT",PirateSoftware,Cheering,150 Bits
"2018 Sep 20, 22:45 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 20, 22:51 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 20, 23:07 PDT",PirateSoftware,Cheering,150 Bits
"2018 Sep 21, 00:47 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 21, 15:04 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 21, 22:15 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 21, 22:22 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 21, 22:24 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 21, 22:26 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 21, 22:29 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 21, 22:39 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 22, 00:06 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 22, 12:54 PDT",PirateSoftware,Cheering,18 Bits
"2018 Sep 22, 17:43 PDT",PirateSoftware,Cheering,3 Bits
"2018 Sep 22, 17:43 PDT",PirateSoftware,Cheering,2 Bits
"2018 Sep 22, 17:43 PDT",PirateSoftware,Cheering,2 Bits
"2018 Sep 22, 17:43 PDT",PirateSoftware,Cheering,1 Bit
"2018 Sep 23, 11:49 PDT",PirateSoftware,Cheering,16 Bits
"2018 Sep 23, 11:51 PDT",PirateSoftware,Cheering,10 Bits
"2018 Sep 23, 11:57 PDT",PirateSoftware,Cheering,10 Bits
"2018 Sep 23, 13:09 PDT",PirateSoftware,Cheering,5 Bits
"2018 Sep 23, 14:38 PDT",PirateSoftware,Cheering,1 Bit
"2018 Sep 23, 17:53 PDT",PirateSoftware,Cheering,5 Bits
"2018 Sep 25, 21:54 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 25, 23:37 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 28, 16:26 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 29, 20:27 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 29, 20:28 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 29, 21:15 PDT",PirateSoftware,Cheering,100 Bits
"2018 Sep 29, 21:24 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 1, 21:07 PDT",PirateSoftware,Cheering,100 Bits
"2018 Oct 2, 23:44 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 3, 23:46 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 3, 23:47 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 3, 23:50 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 3, 23:52 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 4, 21:53 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 5, 12:40 PDT",PirateSoftware,Cheering,20 Bits
"2018 Oct 5, 12:41 PDT",PirateSoftware,Cheering,25 Bits
"2018 Oct 5, 12:41 PDT",PirateSoftware,Cheering,20 Bits
"2018 Oct 5, 12:42 PDT",PirateSoftware,Cheering,25 Bits
"2018 Oct 5, 12:42 PDT",PirateSoftware,Cheering,10 Bits
"2018 Oct 5, 12:43 PDT",PirateSoftware,Cheering,100 Bits
"2018 Oct 5, 12:44 PDT",PirateSoftware,Cheering,5 Bits
"2018 Oct 5, 12:44 PDT",PirateSoftware,Cheering,20 Bits
"2018 Oct 5, 12:45 PDT",PirateSoftware,Cheering,25 Bits
"2018 Oct 5, 12:45 PDT",PirateSoftware,Cheering,20 Bits
"2018 Oct 5, 19:00 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 5, 19:01 PDT",PirateSoftware,Cheering,20 Bits
"2018 Oct 5, 19:02 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 5, 19:02 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 5, 19:02 PDT",PirateSoftware,Cheering,20 Bits
"2018 Oct 5, 19:03 PDT",PirateSoftware,Cheering,5 Bits
"2018 Oct 5, 19:03 PDT",PirateSoftware,Cheering,20 Bits
"2018 Oct 5, 19:04 PDT",PirateSoftware,Cheering,20 Bits
"2018 Oct 6, 12:56 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 6, 12:57 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 6, 12:57 PDT",PirateSoftware,Cheering,50 Bits
